time_step,channel,rssi,snr,interference,load,throughput
111,4,-69.6,36.57,0.807,0.985,37.72
111,5,-57.51,28.14,0.078,0.544,65.81
112,1,-50.99,10.86,0.781,0.584,10.16
112,2,-73.69,30.0,0.759,0.103,43.32
112,3,-61.74,22.81,0.369,0.933,31.96
112,4,-50.71,21.16,0.921,0.695,24.63
112,5,-49.91,35.16,0.274,0.807,65.29
113,1,-71.54,39.25,0.857,0.701,46.2
113,2,-50.01,24.67,0.947,0.496,30.24
113,3,-46.76,30.71,0.384,0.025,74.71
113,4,-43.86,5.4,0.704,0.97,1.0
113,5,-51.23,33.6,0.546,0.967,49.94
114,1,-87.16,22.67,0.718,0.863,10.11
114,2,-59.6,18.88,0.132,0.865,30.8
114,3,-81.35,15.84,0.29,0.871,13.7
114,4,-76.22,26.87,0.572,0.833,29.51
114,5,-40.17,5.43,0.674,0.052,13.92
115,1,-73.13,17.35,0.621,0.334,22.38
115,2,-49.7,19.16,0.068,0.784,40.21
115,3,-52.3,16.64,0.057,0.374,40.95
115,4,-38.06,27.46,0.671,0.632,48.86
115,5,-48.7,8.55,0.278,0.276,23.53
116,1,-66.24,39.31,0.068,0.519,79.82
116,2,-49.42,29.66,0.423,0.347,60.49
116,3,-68.13,14.25,0.205,0.483,23.43
116,4,-53.88,38.9,0.604,0.077,77.81
116,5,-85.84,38.3,0.297,0.092,77.48
117,1,-54.33,14.36,0.015,0.965,30.99
117,2,-76.2,28.66,0.707,0.61,29.4
117,3,-57.13,35.31,0.947,0.106,58.26
117,4,-81.48,38.07,0.737,0.883,42.39
117,5,-51.44,28.8,0.408,0.015,65.28
118,1,-57.94,13.86,0.45,0.958,14.67
118,2,-79.63,28.54,0.977,0.102,34.4
118,3,-89.54,20.18,0.093,0.748,23.7
118,4,-75.77,20.2,0.723,0.009,33.07
118,5,-57.58,26.47,0.638,0.242,47.45
119,1,-79.04,35.71,0.739,0.014,60.19
119,2,-76.34,12.5,0.271,0.248,22.32
119,3,-49.7,26.24,0.673,0.081,53.26
119,4,-37.67,34.35,0.805,0.823,55.36
119,5,-78.98,26.59,0.743,0.738,25.18
120,1,-61.32,7.4,0.371,0.921,3.2
120,2,-75.21,17.9,0.895,0.666,11.75
120,3,-46.69,20.9,0.63,0.248,41.52
120,4,-65.66,27.73,0.936,0.064,48.09
120,5,-44.64,15.23,0.444,0.022,44.36
121,1,-86.91,22.19,0.927,0.105,14.71
121,2,-47.96,19.34,0.655,0.26,37.7
121,3,-86.12,11.5,0.664,0.882,1.0
121,4,-45.22,28.98,0.11,0.289,71.55
121,5,-61.67,23.74,0.357,0.354,44.62
122,1,-44.43,32.63,0.308,0.914,60.58
122,2,-70.51,22.7,0.941,0.876,10.98
122,3,-84.36,18.75,0.553,0.503,17.23
122,4,-52.77,34.33,0.859,0.748,46.86
122,5,-65.84,26.37,0.16,0.674,49.83
123,1,-77.37,9.11,0.165,0.002,21.78
123,2,-50.47,30.63,0.515,0.161,64.42
123,3,-84.21,12.78,0.519,0.608,1.0
123,4,-76.51,7.02,0.391,0.234,11.27
123,5,-67.13,20.01,0.541,0.696,29.09
124,1,-51.38,11.01,0.5,0.412,22.01
124,2,-60.71,9.04,0.606,0.117,19.4
124,3,-71.45,10.0,0.692,0.206,10.93
124,4,-78.76,22.77,0.419,0.018,42.43
124,5,-46.4,7.42,0.474,0.561,17.78
125,1,-76.07,5.35,0.723,0.536,1.0
125,2,-44.01,33.75,0.843,0.485,61.35
125,3,-65.18,11.42,0.855,0.883,1.0
125,4,-64.35,7.65,0.388,0.804,1.27
125,5,-86.32,35.71,0.389,0.542,53.2
126,1,-36.76,7.33,0.648,0.074,28.58
126,2,-66.16,39.9,0.559,0.321,70.45
126,3,-77.89,17.27,0.373,0.069,30.88
126,4,-50.25,27.99,0.709,0.008,52.76
126,5,-78.03,28.16,0.484,0.005,54.45
127,1,-59.84,7.33,0.767,0.584,1.0
127,2,-46.99,31.31,0.803,0.518,53.32
127,3,-55.87,30.98,0.17,0.195,71.47
127,4,-41.03,31.25,0.908,0.759,50.87
127,5,-41.1,25.26,0.632,0.156,60.3
128,1,-63.93,30.07,0.271,0.202,61.73
128,2,-78.18,19.87,0.908,0.507,8.38
128,3,-79.66,7.69,0.696,0.383,1.0
128,4,-46.21,14.52,0.692,0.264,31.65
128,5,-38.35,27.27,0.325,0.27,70.69
129,1,-77.97,25.84,0.265,0.662,35.35
129,2,-45.18,32.23,0.761,0.188,65.14
129,3,-69.74,20.13,0.031,0.26,46.35
129,4,-88.15,35.77,0.243,0.557,56.52
129,5,-72.23,36.43,0.888,0.325,51.17
130,1,-40.45,39.87,0.825,0.845,65.03
130,2,-86.3,8.32,0.999,0.327,1.0
130,3,-48.85,33.23,0.858,0.998,38.31
130,4,-88.77,17.61,0.784,0.566,2.45
130,5,-72.8,27.9,0.232,0.014,63.95
131,1,-48.07,6.36,0.837,0.62,2.07
131,2,-59.01,26.86,0.864,0.587,34.04
131,3,-48.38,20.48,0.707,0.389,35.89
131,4,-77.41,25.89,0.928,0.929,13.1
131,5,-78.36,39.85,0.981,0.65,38.54
132,1,-45.76,30.03,0.593,0.053,73.91
132,2,-52.74,18.06,0.942,0.167,25.8
132,3,-62.48,29.18,0.697,0.649,37.76
132,4,-55.02,25.98,0.179,0.705,49.97
132,5,-64.97,28.37,0.837,0.17,49.56
133,1,-43.9,33.1,0.961,0.536,54.58
133,2,-63.13,19.07,0.154,0.573,38.8
133,3,-57.92,25.75,0.355,0.052,59.98
133,4,-88.25,19.82,0.085,0.607,24.41
133,5,-42.54,36.01,0.197,0.737,78.29
134,1,-74.24,33.09,0.997,0.03,49.16
134,2,-36.46,21.28,0.847,0.062,49.8
134,3,-71.56,7.35,0.975,0.817,1.0
134,4,-86.09,12.38,0.229,0.469,10.86
134,5,-75.23,8.53,0.167,0.147,20.56
135,1,-74.69,32.94,0.326,0.299,62.7
135,2,-77.21,9.54,0.256,0.355,12.53
135,3,-78.42,33.32,0.147,0.343,64.99
135,4,-42.44,10.42,0.083,0.485,36.75
135,5,-45.79,9.8,0.581,0.506,11.29
136,1,-82.08,26.84,0.274,0.488,42.0
136,2,-73.14,33.78,0.057,0.419,66.32
136,3,-64.79,30.38,0.574,0.667,45.89
136,4,-72.74,23.83,0.84,0.989,12.46
136,5,-41.08,18.0,0.195,0.489,47.22
137,1,-63.43,34.34,0.361,0.86,59.74
137,2,-67.63,16.49,0.454,0.762,15.75
137,3,-37.67,11.14,0.568,0.579,21.03
137,4,-63.07,27.57,0.23,0.553,57.32
137,5,-82.23,24.98,0.185,0.279,42.82
138,1,-77.97,11.4,0.826,0.286,1.0
138,2,-69.4,32.92,0.367,0.087,68.61
138,3,-59.38,34.58,0.796,0.175,57.91
138,4,-78.0,35.59,0.25,0.263,70.16
138,5,-89.96,35.47,0.793,0.627,34.59
139,1,-64.79,17.29,0.094,0.486,38.6
139,2,-39.36,6.4,0.291,0.208,30.07
139,3,-64.26,21.32,0.761,0.154,33.27
139,4,-63.2,20.05,0.597,1.0,14.02
139,5,-44.48,10.97,0.03,0.204,47.85
140,1,-71.28,22.87,0.615,0.911,20.41
140,2,-87.24,6.22,0.551,0.438,3.11
140,3,-43.85,10.62,0.025,0.449,35.64
140,4,-56.54,14.84,0.173,0.38,37.69
140,5,-45.92,18.72,0.751,0.125,36.63
141,1,-52.74,24.8,0.929,0.387,37.95
141,2,-86.36,5.67,0.827,0.525,1.0
141,3,-71.02,6.05,0.961,0.668,1.0
141,4,-38.67,14.29,0.611,0.678,26.55
141,5,-37.91,35.97,0.739,0.277,72.51
142,1,-74.51,38.72,0.01,0.716,74.6
142,2,-35.54,15.92,0.34,0.079,56.3
142,3,-65.65,14.14,0.343,0.835,16.21
142,4,-86.6,8.23,0.163,0.595,2.83
142,5,-81.72,38.88,0.447,0.502,60.4
143,1,-53.59,31.29,0.754,0.578,43.83
143,2,-40.26,33.61,0.757,0.056,70.14
143,3,-67.87,35.96,0.896,0.909,43.63
143,4,-72.74,29.19,0.272,0.191,57.5
143,5,-66.35,34.08,0.12,0.735,59.85
144,1,-60.77,15.08,0.493,0.3,23.38
144,2,-80.96,9.08,0.547,0.902,1.0
144,3,-71.08,30.66,0.659,0.932,33.51
144,4,-53.86,36.44,0.4,0.327,79.62
144,5,-89.41,33.93,0.801,0.104,43.12
145,1,-83.47,39.32,0.215,0.067,86.02
145,2,-57.28,30.86,0.032,0.659,62.78
145,3,-80.51,24.88,0.296,0.938,27.39
145,4,-44.97,39.42,0.26,0.97,68.61
145,5,-87.23,6.85,0.692,0.458,1.0
146,1,-77.54,26.49,0.253,0.578,45.43
146,2,-44.86,21.71,0.351,0.363,49.98
146,3,-45.69,16.49,0.209,0.085,47.18
146,4,-43.75,12.74,0.381,0.808,13.48
146,5,-44.7,18.46,0.459,0.303,43.79
147,1,-60.76,6.14,0.476,0.408,8.79
147,2,-81.13,27.97,0.971,0.562,21.17
147,3,-67.03,9.07,0.613,0.938,1.0
147,4,-53.6,7.69,0.355,0.551,17.65
147,5,-45.19,26.41,0.373,0.255,61.64
148,1,-84.18,17.42,0.413,0.676,11.8
148,2,-68.26,11.36,0.157,0.827,13.82
148,3,-87.69,19.67,0.168,0.879,13.92
148,4,-62.37,30.6,0.958,0.22,46.73
148,5,-41.26,37.7,0.916,0.635,57.59
149,1,-48.62,23.6,0.677,0.428,46.95
149,2,-49.77,33.86,0.146,0.833,71.21
149,3,-66.28,18.27,0.915,0.251,20.08
149,4,-43.57,21.94,0.514,0.308,43.51
149,5,-87.84,14.52,0.006,0.978,12.75
150,1,-36.88,18.83,0.728,0.346,41.85
150,2,-37.93,19.01,0.783,0.266,40.65
150,3,-35.53,5.9,0.604,0.66,7.26
150,4,-38.38,11.34,0.623,0.223,30.33
150,5,-73.1,24.13,0.417,0.16,44.28
151,1,-48.35,36.43,0.084,0.393,82.7
151,2,-84.49,5.58,0.662,0.602,1.0
151,3,-88.7,34.22,0.975,0.135,39.63
151,4,-77.27,35.39,0.926,0.42,38.14
151,5,-88.42,25.41,0.011,0.787,40.55
152,1,-73.15,6.41,0.588,0.398,1.0
152,2,-74.86,29.83,0.271,0.904,42.81
152,3,-69.39,24.25,0.051,0.426,52.92
152,4,-77.66,12.91,0.817,0.93,1.0
152,5,-84.76,20.75,0.337,0.871,8.51
153,1,-71.61,18.81,0.53,0.161,30.76
153,2,-58.54,33.19,0.76,0.154,59.08
153,3,-70.14,19.3,0.68,0.057,29.63
153,4,-88.09,18.72,0.697,0.193,13.69
153,5,-41.27,36.35,0.297,0.23,89.73
154,1,-67.38,13.42,0.672,0.826,5.26
154,2,-68.17,10.47,0.738,0.36,7.28
154,3,-53.08,14.47,0.081,0.993,27.83
154,4,-42.36,15.13,0.468,0.619,35.05
154,5,-67.38,19.96,0.33,0.564,31.1
155,1,-38.61,29.12,0.823,0.556,51.64
155,2,-47.13,5.57,0.818,0.04,9.16
155,3,-47.91,13.86,0.866,0.103,23.19
155,4,-83.07,39.27,0.674,0.847,49.17
155,5,-57.32,26.11,0.683,0.575,35.17
156,1,-66.4,14.66,0.769,0.226,14.25
156,2,-55.61,31.15,0.219,0.06,78.7
156,3,-82.8,26.21,0.849,0.045,31.87
156,4,-63.68,37.51,0.332,0.465,75.34
156,5,-89.25,7.86,0.259,0.028,9.42
157,1,-59.85,11.11,0.296,0.664,22.56
157,2,-36.91,6.76,0.89,0.577,3.98
157,3,-86.18,8.15,0.601,0.341,5.25
157,4,-39.55,19.23,0.143,0.715,47.21
157,5,-51.62,36.51,0.792,0.676,50.96
158,1,-52.62,38.11,0.296,0.001,88.36
158,2,-53.6,27.18,0.593,0.016,57.21
158,3,-49.92,16.32,0.665,0.557,21.19
158,4,-84.81,34.1,0.918,0.65,30.87
158,5,-84.31,19.07,0.729,0.78,1.87
159,1,-76.0,5.45,0.54,0.851,1.0
159,2,-37.33,24.8,0.514,0.085,56.92
159,3,-56.61,18.61,0.24,0.095,51.95
159,4,-72.68,8.38,0.177,0.987,4.69
159,5,-41.95,39.84,0.583,0.812,63.46
160,1,-72.02,15.7,0.403,0.673,13.04
160,2,-82.67,27.13,0.128,0.578,48.03
160,3,-51.86,29.52,0.753,0.873,43.97
160,4,-55.95,11.53,0.026,0.285,37.21
160,5,-65.63,26.6,0.85,0.196,39.81
161,1,-57.79,23.95,0.086,0.057,62.05
161,2,-84.2,25.5,0.544,0.234,40.03
161,3,-87.71,22.43,0.689,0.252,25.45
161,4,-73.07,26.48,0.898,0.81,24.0
161,5,-69.93,27.43,0.466,0.19,52.89
162,1,-51.4,24.48,0.359,0.911,36.63
162,2,-52.84,18.86,0.756,0.454,30.94
162,3,-67.32,37.72,0.251,0.12,82.52
162,4,-69.22,7.17,0.339,0.506,7.14
162,5,-81.09,28.03,0.998,0.452,20.83
163,1,-83.67,35.91,0.415,0.387,52.81
163,2,-53.72,20.47,0.648,0.061,44.3
163,3,-81.67,21.71,0.602,0.582,20.38
163,4,-67.92,16.83,0.127,0.392,37.63
163,5,-78.51,7.05,0.552,0.595,1.0
164,1,-42.04,25.19,0.345,0.803,46.48
164,2,-58.88,36.78,0.396,0.296,75.06
164,3,-82.11,10.3,0.433,0.596,3.19
164,4,-44.44,7.81,0.477,0.63,17.8
164,5,-44.42,32.42,0.277,0.941,62.1
165,1,-58.06,37.76,0.672,0.481,56.69
165,2,-45.47,38.27,0.022,0.983,76.55
165,3,-65.81,27.54,0.381,0.055,58.17
165,4,-57.03,36.58,0.383,0.216,75.93
165,5,-44.87,33.92,0.588,0.353,68.71
166,1,-46.01,24.41,0.826,0.631,36.66
166,2,-67.22,38.53,0.541,0.605,66.12
166,3,-77.87,26.9,0.572,0.185,43.53
166,4,-48.0,23.32,0.227,0.667,47.33
166,5,-85.59,20.46,0.163,0.184,37.19
167,1,-87.19,18.92,0.512,0.483,13.05
167,2,-68.95,34.37,0.145,0.506,72.35
167,3,-41.71,24.53,0.96,0.049,53.88
167,4,-84.61,6.54,0.185,0.541,1.0
167,5,-37.97,34.48,0.297,0.077,89.53
168,1,-80.66,9.44,0.123,0.519,9.74
168,2,-35.58,28.95,0.949,0.143,54.23
168,3,-68.98,24.42,0.077,0.004,65.39
168,4,-67.41,22.14,0.415,0.024,51.67
168,5,-71.55,11.2,0.098,0.957,14.34
169,1,-72.65,18.76,0.237,0.097,43.66
169,2,-80.15,32.91,0.678,0.547,44.2
169,3,-86.0,14.82,0.35,0.782,6.44
169,4,-35.41,13.42,0.874,0.831,10.64
169,5,-67.47,39.24,0.181,0.799,65.22
170,1,-71.62,30.58,0.42,0.578,49.6
170,2,-42.35,7.09,0.692,0.14,20.16
170,3,-67.13,24.2,0.403,0.52,36.87
170,4,-82.68,10.56,0.949,0.88,1.0
170,5,-40.11,39.7,0.208,0.355,93.62
171,1,-66.99,17.52,0.594,0.576,25.55
171,2,-81.12,21.51,0.553,0.57,23.64
171,3,-88.61,17.42,0.78,0.564,1.0
171,4,-75.64,29.32,0.567,0.796,35.96
171,5,-63.15,9.66,0.261,0.419,23.83
172,1,-57.04,22.98,0.288,0.006,53.11
172,2,-49.6,5.84,0.585,0.941,1.0
172,3,-80.41,21.51,0.091,0.626,27.86
172,4,-61.32,36.38,0.196,0.023,89.23
172,5,-42.61,25.2,0.891,0.597,36.56
173,1,-48.76,36.96,0.572,0.181,81.79
173,2,-75.22,11.95,0.247,0.306,27.61
173,3,-66.54,26.54,0.082,0.088,69.16
173,4,-80.55,23.13,0.214,0.283,46.21
173,5,-89.24,27.73,0.669,0.799,19.62
174,1,-38.7,5.7,0.154,0.886,22.2
174,2,-53.53,28.77,0.932,0.997,23.45
174,3,-50.39,15.05,0.88,0.049,28.3
174,4,-75.91,12.72,0.138,0.859,11.19
174,5,-62.5,28.62,0.239,0.758,47.53
175,1,-67.41,12.34,0.977,0.646,1.0
175,2,-38.6,15.62,0.782,0.766,16.38
175,3,-53.06,30.53,0.575,0.207,61.25
175,4,-62.25,15.93,0.427,0.645,19.27
175,5,-67.71,14.42,0.199,0.783,21.74
176,1,-39.99,17.96,0.751,0.897,19.94
176,2,-37.4,18.18,0.339,0.062,57.04
176,3,-63.26,8.82,0.249,0.317,21.4
176,4,-73.36,35.05,0.857,0.765,39.23
176,5,-81.93,29.16,0.945,0.683,21.96
177,1,-54.49,22.87,0.12,0.312,50.84
177,2,-45.87,35.15,0.137,0.952,73.01
177,3,-48.65,33.42,0.946,0.313,52.54
177,4,-42.78,9.61,0.705,0.742,4.7
177,5,-41.98,10.91,0.054,0.717,33.74
178,1,-63.85,34.72,0.383,0.168,72.34
178,2,-79.59,30.21,0.511,0.604,43.88
178,3,-64.65,34.0,0.83,0.709,46.72
178,4,-70.04,35.77,0.725,0.113,65.13
178,5,-67.57,36.02,0.047,0.961,66.0
179,1,-75.12,13.71,0.942,0.298,8.5
179,2,-47.35,18.76,0.139,0.011,60.67
179,3,-69.7,17.5,0.344,0.521,26.94
179,4,-65.76,35.8,0.506,0.508,60.31
179,5,-53.53,25.84,0.415,0.422,51.58
180,1,-46.82,11.85,0.82,0.649,5.86
180,2,-75.88,31.32,0.513,0.321,44.35
180,3,-57.22,39.85,0.435,0.921,63.64
180,4,-78.77,19.65,0.22,0.0,42.85
180,5,-39.67,34.54,0.742,0.168,73.74
181,1,-66.32,9.17,0.512,0.349,11.59
181,2,-69.38,26.75,0.719,0.111,48.23
181,3,-71.23,20.55,0.676,0.509,21.14
181,4,-42.62,35.31,0.01,0.778,80.4
181,5,-63.42,39.54,0.755,0.249,68.45
182,1,-60.39,39.72,0.858,0.097,68.17
182,2,-89.62,19.12,0.235,0.819,19.83
182,3,-71.45,33.96,0.001,0.308,72.14
182,4,-86.25,11.55,0.556,0.291,3.74
182,5,-67.04,18.19,0.876,0.905,1.0
183,1,-84.13,38.37,0.06,0.298,75.17
183,2,-73.61,16.21,0.164,0.783,22.07
183,3,-83.19,7.47,0.909,0.19,1.0
183,4,-44.83,24.06,0.078,0.955,51.25
183,5,-80.72,34.89,0.013,0.512,64.99
184,1,-47.68,37.72,0.909,0.82,53.34
184,2,-74.37,15.11,0.377,0.393,22.53
184,3,-60.05,10.6,0.691,0.168,16.34
184,4,-46.2,30.88,0.646,0.156,59.5
184,5,-59.91,8.06,0.377,0.414,13.36
185,1,-80.15,18.73,0.948,0.141,15.05
185,2,-48.01,8.8,0.981,0.382,2.62
185,3,-55.48,11.72,0.146,0.938,21.38
185,4,-39.53,36.06,0.625,0.808,62.78
185,5,-72.75,27.25,0.356,0.149,52.15
186,1,-57.19,33.5,0.382,0.132,71.8
186,2,-73.51,27.5,0.601,0.696,30.68
186,3,-70.06,33.84,0.204,0.469,63.23
186,4,-83.96,35.93,0.343,0.684,53.98
186,5,-88.61,29.15,0.316,0.056,48.94
187,1,-68.73,7.82,0.147,0.298,21.19
187,2,-85.06,36.88,0.006,0.484,67.83
187,3,-39.07,10.66,0.966,0.206,15.48
187,4,-49.21,24.13,0.884,0.554,29.11
187,5,-80.86,37.08,0.328,0.372,65.06
188,1,-48.21,16.86,0.952,0.738,15.45
188,2,-87.27,14.0,0.465,0.227,15.46
188,3,-49.09,37.17,0.424,0.342,78.34
188,4,-63.1,17.31,0.91,0.569,13.16
188,5,-48.08,33.41,0.342,0.434,70.51
189,1,-46.33,37.93,0.623,0.742,68.47
189,2,-45.72,34.58,0.395,0.051,88.17
189,3,-65.23,31.21,0.357,0.635,50.41
189,4,-79.75,31.23,0.546,0.204,54.14
189,5,-63.46,12.56,0.967,0.715,1.0
190,1,-37.36,19.95,0.475,0.898,40.08
190,2,-76.13,20.64,0.123,0.206,45.03
190,3,-89.95,6.37,0.977,0.242,1.0
190,4,-59.71,10.36,0.728,0.6,5.4
190,5,-49.78,31.94,0.975,0.574,49.14
191,1,-86.24,36.41,0.119,0.328,63.92
191,2,-45.13,25.91,0.394,0.473,54.36
191,3,-42.17,8.08,0.777,0.848,3.33
191,4,-80.0,20.06,0.165,0.707,34.05
191,5,-79.19,12.41,0.041,0.322,27.64
192,1,-59.21,35.03,0.667,0.435,59.7
192,2,-75.76,6.85,0.726,0.121,3.31
192,3,-73.35,23.64,0.564,0.601,27.46
192,4,-56.05,38.94,0.728,0.923,51.66
192,5,-48.08,25.71,0.192,0.667,59.04
193,1,-63.06,23.5,0.334,0.519,47.38
193,2,-79.13,33.18,0.186,0.085,74.87
193,3,-65.93,14.69,0.558,0.347,18.67
193,4,-38.69,37.29,0.502,0.328,75.74
193,5,-39.37,5.42,0.553,0.741,5.09
194,1,-63.32,7.99,0.972,0.518,1.0
194,2,-63.41,20.02,0.075,0.106,55.21
194,3,-43.94,13.39,0.195,0.505,33.39
194,4,-87.99,6.85,0.834,0.118,1.0
194,5,-87.52,20.33,0.844,0.262,13.46
195,1,-65.3,25.22,0.571,0.332,42.08
195,2,-72.65,8.73,0.367,0.099,22.45
195,3,-74.31,27.08,0.456,0.482,43.68
195,4,-48.32,14.87,0.318,0.925,22.85
195,5,-39.8,26.36,0.546,0.25,58.12
196,1,-71.12,34.82,0.559,0.515,54.13
196,2,-56.82,7.79,0.683,0.933,1.0
196,3,-58.34,9.41,0.582,0.766,5.93
196,4,-54.32,36.47,0.624,0.131,73.09
196,5,-72.97,12.06,0.909,0.76,1.0
197,1,-79.88,31.48,0.474,0.226,56.31
197,2,-56.09,6.41,0.326,0.469,12.12
197,3,-78.81,31.92,0.426,0.565,46.61
197,4,-88.84,6.21,0.446,0.817,1.0
197,5,-68.66,34.03,0.134,0.935,56.58
198,1,-48.67,37.95,0.677,0.363,71.83
198,2,-71.73,29.53,0.765,0.929,27.66
198,3,-78.74,32.93,0.739,0.064,48.24
198,4,-73.25,39.4,0.643,0.718,52.62
198,5,-36.29,18.2,0.802,0.435,32.74
199,1,-37.88,12.66,0.326,0.756,28.38
199,2,-68.34,26.29,0.445,0.742,35.78
199,3,-80.76,17.42,0.4,0.057,25.35
199,4,-57.92,35.95,0.152,0.598,70.81
199,5,-51.44,19.38,0.505,0.007,53.1
